scenario_id,num_nurses,arrival_rate,sim_hours,num_patients,avg_utilization,utilization_std,missed_care_pct,missed_care_std,avg_wait_time,wait_time_std,avg_tasks_per_hour,tasks_per_hour_std
1166,10,12.0,12,139.3,56.90585172692901,5.503350850043593,9.827157415767838,3.09927449409731,0.6550912416460745,0.6184982729306179,4.5841666666666665,0.444994538043883
1167,18,1.1,7,7.0,2.858562520054546,1.0741870669408151,0.0,0.0,0.0,0.0,0.2277777777777778,0.08015873015873015
1168,6,15.5,6,89.4,91.71416516732714,1.7423223158434924,19.519765059965362,4.103501172404901,39.55119681963534,25.392455000681377,7.641666666666668,0.26714367059831434
1169,16,2.7,7,16.4,7.89596668302288,1.402719077808043,1.0255432710636676,2.2115010257870864,0.0,0.0,0.6285714285714287,0.1130936716683501
1170,8,19.7,14,277.6,96.2669064708855,1.0267197141204165,26.03944597587248,2.4295733612134165,68.5252843497487,34.298613790557056,7.836607142857143,0.08423670639383771
1171,10,4.5,11,44.7,20.954551325978166,3.118229669598857,0.6262582861096022,1.1115267932905846,0.0,0.0,1.6727272727272726,0.2104697618689132
1172,5,13.2,10,137.3,96.41946224990444,2.819859655499986,25.783055022892178,4.967230424616092,73.96240355412141,13.266384796154627,7.965999999999999,0.2730640950399739
1173,9,5.2,11,57.2,29.67560920723925,3.7152670976444817,2.509725569673642,1.7720258937367392,0.09421736382570339,0.247443341944162,2.3515151515151516,0.27525206190304796
1174,19,7.1,9,58.4,17.818814345298765,1.2890813598292383,1.700192121055517,1.7735651006678643,0.0,0.0,1.43859649122807,0.1027976364400406
1175,16,5.6,11,61.1,17.932435392269785,2.322261573212701,2.8227761549978494,2.2265215111758185,0.0,0.0,1.4369318181818183,0.18241114246858442
1176,9,11.3,9,106.8,64.31822619127772,7.2422504695948895,9.456323760589168,3.106748153953076,0.9253243066608714,0.6657544718096787,5.203703703703704,0.586939340963818
1177,11,12.7,9,115.1,57.680494780077574,3.6250635099946047,7.841293829320509,2.747909462437366,0.15863925015672287,0.14518437700405182,4.63838383838384,0.33999465836624543
1178,7,4.8,7,34.2,33.81552179718174,6.6330847417088465,2.7807966237641857,3.130223469637841,0.2575287920064866,0.7725863760194599,2.7530612244897954,0.5444391556171324
1179,14,4.9,14,69.4,18.37150366108536,2.549901026196337,1.9674780158439968,2.2524700811945224,0.0,0.0,1.4683673469387755,0.19148360898900338
1180,19,3.0,6,17.1,7.973832820073101,1.559178347249504,0.7100320659642694,1.6446789950886262,0.0,0.0,0.6421052631578947,0.11774008235482471
1181,13,7.2,10,77.1,29.387366826981356,2.6193188638967735,6.4614570529764395,0.9023044359987278,0.0,0.0,2.36,0.19659227021950582
1182,12,12.0,15,183.1,50.296330139376515,3.4391057427767633,9.958010955769085,2.011410782067261,0.11989023413642892,0.10682147914959131,4.0344444444444445,0.26219397211291035
1183,4,3.2,11,33.1,40.567132147419876,6.920859239279512,0.0,0.0,0.8545271091830781,0.7428378768278272,3.1999999999999997,0.49738988149627256
1184,13,5.7,6,37.9,24.685348923755377,4.622225934313122,4.53182108750723,2.7590397474594033,0.0,0.0,1.9679487179487178,0.34573811692722567
1185,12,18.9,15,278.4,73.55035210085646,3.381001989804818,13.31958716847248,3.2115659306102127,2.5524866995567983,1.5110414001936152,5.944444444444445,0.2751991422610804
1186,2,9.4,11,103.2,98.44661649203988,0.6330810447127513,32.168580318580524,3.693244505351203,181.56068622302809,24.992519325743032,8.568181818181817,0.20953510130211137
1187,17,12.4,9,107.2,34.60578068357941,1.494770751825339,8.00272747917288,3.769986683511568,0.0011667686247123009,0.0035003058741369026,2.776470588235294,0.11829162569820868
1188,14,13.0,12,165.9,48.40230513877874,2.84763337831698,10.165112239933903,2.842213758549175,0.10762020352973747,0.17551702014890586,3.923809523809524,0.250294610989229
1189,19,11.3,14,156.9,29.97053691146478,1.3499723139680906,8.708491898646935,2.934904926864663,0.0,0.0,2.3860902255639096,0.11666316699509661
1190,13,8.2,6,47.6,30.066401512344054,3.03855152639749,3.642489425619855,2.648278214649129,0.0,0.0,2.4307692307692306,0.2561023792653081
1191,2,14.3,15,220.2,98.55478089501639,0.791098267844064,38.002671829032884,2.2971851655532753,326.3470678452241,42.49042807496874,9.006666666666668,0.19821424996424689
1192,13,3.2,8,27.1,13.292184801631905,1.9351913205192808,2.13614358475376,2.6197458884361904,0.0,0.0,1.0615384615384615,0.16644339087769122
1193,17,17.9,7,119.0,47.78290297167679,4.0137131604512675,9.984244210474554,1.8227129374879818,0.006436557288627838,0.011526668100043295,3.8302521008403367,0.29404080628887397
1194,2,9.9,13,135.4,98.42746935327435,1.0469124366059959,36.14544180990566,5.379996363975461,212.2696232075372,32.831748784425486,8.538461538461538,0.1604357970354943
1195,8,2.3,14,33.2,15.59098484879539,3.2316666428999112,0.2867184609692934,0.6082006069290743,0.0,0.0,1.242857142857143,0.24713924439968857
1196,12,16.6,10,170.7,68.17055011398004,2.8501462242272573,10.73366291815066,2.6221053265881995,1.4510477184413448,2.073457576085452,5.514166666666666,0.19783726477419064
1197,6,9.5,11,106.3,75.93428488201286,6.7029516594827605,13.56596244866228,4.67690901925907,6.235742640498893,4.497146560240982,6.157575757575758,0.5489032390505822
1198,2,7.7,14,109.4,98.17953410799875,1.0748609368143558,30.86108106154311,2.781051102609064,191.19765858643615,40.773574645245525,8.335714285714285,0.16766706563293568
1199,9,14.4,8,117.1,76.0039181097064,4.53177185423632,12.103150120482855,4.83884233236933,5.1938257971979525,4.8987780240079895,6.183333333333334,0.38902775298504433
1200,4,18.3,7,128.6,97.54361593418807,1.0379886668139102,34.57853465032614,3.434201262355468,112.71892625304906,20.06062898886738,8.425,0.22613094454681035
1201,15,9.8,7,73.7,34.207665144790845,3.5470824398872995,7.061496196009445,3.1129728500562552,0.0,0.0,2.751428571428572,0.2654888957028082
1202,12,6.2,7,42.8,25.048613541269294,3.3826916556459627,4.627435817141678,2.8663288698927594,0.0,0.0,2.0166666666666666,0.287799927355691
1203,7,2.5,6,13.0,16.71467754142178,3.518058501852483,0.7894736842105263,2.3684210526315788,0.0,0.0,1.3309523809523809,0.2810028203310665
1204,3,14.2,8,111.7,97.4988460375607,1.511796423029447,34.605196066944806,3.518241713451823,125.4743869586097,26.575238276230568,8.429166666666667,0.25620765232738685
